,Alpha,Beta,R_squared
100016,0.0362,-0.0259,0.0005
100025,0.0432,-0.0162,0.0028
100033,0.2723,-0.0112,0.0001
101206,0.2139,0.0338,0.0009
101207,0.1082,-0.0599,0.0009
101208,0.0608,0.0013,0.0011
102885,0.1699,-0.0019,0.0
102886,0.0289,-0.0615,0.0019
102887,0.1618,0.0401,0.0011
118632,0.2173,0.0364,0.0011
118633,0.155,0.0132,0.0001
118634,0.178,0.0091,0.0
118635,0.1516,-0.0138,0.0002
118636,0.051,-0.0085,0.0008
119092,0.0697,-0.0196,0.0003
119093,0.0833,-0.0084,0.0001
119094,0.26,-0.0599,0.0016
119095,0.0457,0.0133,0.0
119120,0.0558,0.012,0.0015
119551,0.2322,-0.056,0.0028
119552,0.1983,-0.0199,0.0003
119598,0.3011,0.0743,0.0014
119599,0.0506,0.0077,0.0
120503,0.1759,-0.0041,0.0
120504,0.2121,0.017,0.0002
120505,0.293,-0.0174,0.0001
120506,0.1628,0.0477,0.0016
120507,0.0675,-0.0011,0.0009
120841,0.1307,0.0417,0.0016
120842,0.0786,0.0006,0.0
120843,0.2728,-0.0087,0.0001
120844,0.0645,-0.0001,0.0
125497,0.1789,-0.0055,0.0
125498,0.1206,-0.0185,0.0002
148567,0.2712,-0.0281,0.0007
148568,0.2079,0.0001,0.0
148569,0.2835,-0.0102,0.0001
149322,0.1313,0.0148,0.0002
149323,0.2658,0.0035,0.0
149324,0.2982,0.1326,0.0047
